Defect_ID,Defect_Type,Machine_ID,Production_Line,Defect_Date,Root_Cause,Resolution_Comment,Resolved_Date
D0001,Paint Peeling,MCH-214,Line-1,2025-06-06,Improper curing temperature,Replaced cutting tool and added tool inspection schedule,2025-06-10
D0002,Electrical Failure,MCH-413,Line-1,2025-07-15,Improper curing temperature,Calibrated oven temperature and added monitoring alert,2025-07-16
D0003,Overheating,MCH-142,Line-1,2025-01-17,Seal failure,Calibrated equipment and updated calibration logs,2025-01-19
D0004,Misalignment,MCH-163,Line-4,2025-06-29,Improper curing temperature,Replaced seal and added pressure monitoring,2025-06-30
D0005,Surface Crack,MCH-130,Line-3,2025-05-11,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-05-12
D0006,Misalignment,MCH-481,Line-2,2025-08-21,High machine vibration,Introduced torque check checklist and operator training,2025-08-23
D0007,Surface Crack,MCH-372,Line-5,2025-08-19,Tool wear,Adjusted machine alignment and replaced worn-out bearings,2025-08-22
D0008,Paint Peeling,MCH-377,Line-4,2025-01-11,Loose wiring,Polished die and added regular inspection routine,2025-01-13
D0009,Welding Porosity,MCH-408,Line-1,2025-08-21,Gas flow inconsistency,Replaced cutting tool and added tool inspection schedule,2025-08-26
D0010,Paint Peeling,MCH-208,Line-3,2025-05-24,Improper curing temperature,Adjusted machine alignment and replaced worn-out bearings,2025-05-25
D0011,Dimension Out of Tolerance,MCH-315,Line-2,2025-07-12,Seal failure,Replaced seal and added pressure monitoring,2025-07-17
D0012,Paint Peeling,MCH-459,Line-3,2025-01-20,Coolant shortage,Introduced torque check checklist and operator training,2025-01-24
D0013,Overheating,MCH-439,Line-1,2025-04-17,High machine vibration,Calibrated equipment and updated calibration logs,2025-04-18
D0014,Paint Peeling,MCH-155,Line-1,2025-03-18,Improper calibration,Calibrated equipment and updated calibration logs,2025-03-20
D0015,Surface Crack,MCH-238,Line-3,2025-03-29,Improper calibration,Adjusted machine alignment and replaced worn-out bearings,2025-04-03
D0016,Misalignment,MCH-180,Line-5,2025-05-07,Tool wear,Replaced cutting tool and added tool inspection schedule,2025-05-09
D0017,Burr Formation,MCH-453,Line-2,2025-08-13,Gas flow inconsistency,Replaced cutting tool and added tool inspection schedule,2025-08-17
D0018,Burr Formation,MCH-381,Line-3,2025-01-02,Tool wear,Refilled coolant tank and fixed coolant flow sensor,2025-01-05
D0019,Welding Porosity,MCH-252,Line-1,2025-05-04,Loose wiring,Calibrated oven temperature and added monitoring alert,2025-05-08
D0020,Overheating,MCH-446,Line-3,2025-05-20,Operator error,Adjusted machine alignment and replaced worn-out bearings,2025-05-22
D0021,Welding Porosity,MCH-415,Line-1,2025-02-02,Operator error,Refilled coolant tank and fixed coolant flow sensor,2025-02-04
D0022,Electrical Failure,MCH-139,Line-1,2025-06-26,Operator error,Polished die and added regular inspection routine,2025-06-27
D0023,Surface Crack,MCH-156,Line-1,2025-05-02,Loose wiring,Refilled coolant tank and fixed coolant flow sensor,2025-05-03
D0024,Loose Assembly,MCH-291,Line-5,2025-02-16,Loose wiring,Replaced seal and added pressure monitoring,2025-02-17
D0025,Loose Assembly,MCH-485,Line-2,2025-01-14,Coolant shortage,Adjusted machine alignment and replaced worn-out bearings,2025-01-17
D0026,Paint Peeling,MCH-284,Line-2,2025-08-17,Improper calibration,Polished die and added regular inspection routine,2025-08-18
D0027,Leakage,MCH-344,Line-5,2025-03-16,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-03-20
D0028,Electrical Failure,MCH-426,Line-3,2025-08-11,Worn-out die,Calibrated equipment and updated calibration logs,2025-08-14
D0029,Burr Formation,MCH-303,Line-2,2025-01-10,Operator error,Replaced cutting tool and added tool inspection schedule,2025-01-12
D0030,Welding Porosity,MCH-224,Line-2,2025-05-28,Operator error,Replaced seal and added pressure monitoring,2025-05-29
D0031,Overheating,MCH-265,Line-2,2025-04-28,High machine vibration,Replaced seal and added pressure monitoring,2025-04-29
D0032,Electrical Failure,MCH-116,Line-5,2025-01-25,Seal failure,Calibrated equipment and updated calibration logs,2025-01-29
D0033,Leakage,MCH-293,Line-3,2025-01-25,Coolant shortage,Replaced seal and added pressure monitoring,2025-01-26
D0034,Burr Formation,MCH-166,Line-5,2025-06-21,High machine vibration,Replaced gas regulator and trained operator,2025-06-23
D0035,Dimension Out of Tolerance,MCH-205,Line-5,2025-07-20,Coolant shortage,Calibrated equipment and updated calibration logs,2025-07-22
D0036,Burr Formation,MCH-127,Line-4,2025-05-31,High machine vibration,Calibrated oven temperature and added monitoring alert,2025-06-03
D0037,Loose Assembly,MCH-254,Line-5,2025-08-06,Gas flow inconsistency,Polished die and added regular inspection routine,2025-08-07
D0038,Leakage,MCH-233,Line-5,2025-04-30,Gas flow inconsistency,Calibrated equipment and updated calibration logs,2025-05-05
D0039,Surface Crack,MCH-441,Line-1,2025-04-17,Operator error,Replaced cutting tool and added tool inspection schedule,2025-04-19
D0040,Dimension Out of Tolerance,MCH-436,Line-1,2025-07-20,Tool wear,Replaced seal and added pressure monitoring,2025-07-22
D0041,Dimension Out of Tolerance,MCH-473,Line-4,2025-08-19,Seal failure,Replaced seal and added pressure monitoring,2025-08-21
D0042,Overheating,MCH-220,Line-2,2025-07-17,Improper calibration,Calibrated equipment and updated calibration logs,2025-07-21
D0043,Loose Assembly,MCH-295,Line-5,2025-08-23,Coolant shortage,Secured wiring and scheduled preventive inspection,2025-08-27
D0044,Dimension Out of Tolerance,MCH-268,Line-4,2025-02-04,Improper curing temperature,Replaced seal and added pressure monitoring,2025-02-08
D0045,Paint Peeling,MCH-211,Line-5,2025-05-05,Improper curing temperature,Replaced cutting tool and added tool inspection schedule,2025-05-08
D0046,Dimension Out of Tolerance,MCH-443,Line-2,2025-06-28,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-06-30
D0047,Dimension Out of Tolerance,MCH-372,Line-1,2025-08-31,High machine vibration,Adjusted machine alignment and replaced worn-out bearings,2025-09-02
D0048,Welding Porosity,MCH-447,Line-5,2025-04-11,Gas flow inconsistency,Adjusted machine alignment and replaced worn-out bearings,2025-04-14
D0049,Misalignment,MCH-494,Line-1,2025-09-04,Improper calibration,Replaced cutting tool and added tool inspection schedule,2025-09-07
D0050,Loose Assembly,MCH-426,Line-3,2025-06-29,Worn-out die,Replaced cutting tool and added tool inspection schedule,2025-06-30
D0051,Loose Assembly,MCH-263,Line-2,2025-04-09,Improper curing temperature,Refilled coolant tank and fixed coolant flow sensor,2025-04-12
D0052,Paint Peeling,MCH-345,Line-3,2025-05-17,Tool wear,Polished die and added regular inspection routine,2025-05-21
D0053,Burr Formation,MCH-483,Line-5,2025-04-06,High machine vibration,Calibrated oven temperature and added monitoring alert,2025-04-10
D0054,Dimension Out of Tolerance,MCH-481,Line-5,2025-04-03,Operator error,Replaced seal and added pressure monitoring,2025-04-06
D0055,Electrical Failure,MCH-102,Line-5,2025-02-18,Gas flow inconsistency,Replaced cutting tool and added tool inspection schedule,2025-02-21
D0056,Misalignment,MCH-465,Line-5,2025-02-09,Tool wear,Calibrated equipment and updated calibration logs,2025-02-11
